Entity,Code,Year,Upper bound (%),Lower bound (%),Estimated prevalence (%)
Afghanistan,AFG,1980,12.4,8.5,10.4
Afghanistan,AFG,1981,12.4,8.5,10.5
Afghanistan,AFG,1982,12.4,8.5,10.5
Afghanistan,AFG,1983,12.6,8.6000004,10.5
Afghanistan,AFG,1984,12.7,8.6000004,10.6
Afghanistan,AFG,1985,12.7,8.5,10.6
Afghanistan,AFG,1986,12.8,8.6000004,10.6
Afghanistan,AFG,1987,12.9,8.6000004,10.7
Afghanistan,AFG,1988,13,8.6000004,10.7
Afghanistan,AFG,1989,13.1,8.6999998,10.8
Afghanistan,AFG,1990,13.1,8.8999996,10.8
Afghanistan,AFG,1991,13.2,8.8999996,10.9
Afghanistan,AFG,1992,13.3,9.1000004,11
Afghanistan,AFG,1993,13.4,9.1999998,11.1
Afghanistan,AFG,1994,13.4,9.1999998,11.2
Afghanistan,AFG,1995,13.7,9.3000002,11.3
Afghanistan,AFG,1996,13.8,9.3999996,11.4
Afghanistan,AFG,1997,13.9,9.6000004,11.6
Afghanistan,AFG,1998,14,9.6999998,11.7
Afghanistan,AFG,1999,14.1,9.6999998,11.8
Afghanistan,AFG,2000,14.2,9.6999998,11.8
Afghanistan,AFG,2001,14.2,9.8000002,11.8
Afghanistan,AFG,2002,14.3,9.8000002,11.9
Afghanistan,AFG,2003,14.3,9.8000002,11.9
Afghanistan,AFG,2004,14.2,9.8000002,11.9
Afghanistan,AFG,2005,14.3,9.8000002,11.9
Afghanistan,AFG,2006,14.4,9.6999998,12
Afghanistan,AFG,2007,14.4,9.6999998,12
Afghanistan,AFG,2008,14.4,9.8000002,12
Afghanistan,AFG,2009,14.3,9.8000002,12
Afghanistan,AFG,2010,14.4,9.8000002,11.9
Afghanistan,AFG,2011,14.3,9.8999996,11.9
Afghanistan,AFG,2012,14.2,9.8000002,11.9
Albania,ALB,1980,24.200001,18.5,21.299999
Albania,ALB,1981,24.200001,18.6,21.299999
Albania,ALB,1982,24.200001,18.6,21.299999
Albania,ALB,1983,24.1,18.6,21.299999
Albania,ALB,1984,24.200001,18.6,21.299999
