Entity,Code,Year,Indicator:Enforce bans on tobacco advertising
Afghanistan,AFG,2007,4
Afghanistan,AFG,2010,4
Afghanistan,AFG,2012,4
Afghanistan,AFG,2014,4
Albania,ALB,2007,5
Albania,ALB,2010,5
Albania,ALB,2012,5
Albania,ALB,2014,5
Algeria,DZA,2007,4
Algeria,DZA,2010,4
Algeria,DZA,2012,4
Algeria,DZA,2014,4
Andorra,AND,2007,2
Andorra,AND,2010,2
Andorra,AND,2012,2
Andorra,AND,2014,2
Angola,AGO,2007,2
Angola,AGO,2010,2
Angola,AGO,2012,2
Angola,AGO,2014,2
Antigua and Barbuda,ATG,2007,2
Antigua and Barbuda,ATG,2010,2
Antigua and Barbuda,ATG,2012,2
Antigua and Barbuda,ATG,2014,2
Argentina,ARG,2007,2
Argentina,ARG,2010,2
Argentina,ARG,2012,4
Argentina,ARG,2014,4
Armenia,ARM,2007,2
Armenia,ARM,2010,2
Armenia,ARM,2012,2
Armenia,ARM,2014,2
Australia,AUS,2007,4
Australia,AUS,2010,4
Australia,AUS,2012,4
Australia,AUS,2014,4
Austria,AUT,2007,4
Austria,AUT,2010,4
Austria,AUT,2012,4
Austria,AUT,2014,4
Azerbaijan,AZE,2007,4
Azerbaijan,AZE,2010,4
Azerbaijan,AZE,2012,4
Azerbaijan,AZE,2014,4
Bahamas,BHS,2007,2
Bahamas,BHS,2010,2
Bahamas,BHS,2012,2
Bahamas,BHS,2014,2
Bahrain,BHR,2007,2
Bahrain,BHR,2010,4
Bahrain,BHR,2012,5
Bahrain,BHR,2014,5
Bangladesh,BGD,2007,4
Bangladesh,BGD,2010,4
Bangladesh,BGD,2012,4
Bangladesh,BGD,2014,4
Barbados,BRB,2007,2
Barbados,BRB,2010,2
Barbados,BRB,2012,2
Barbados,BRB,2014,2
Belarus,BLR,2007,4
Belarus,BLR,2010,4
Belarus,BLR,2012,4
Belarus,BLR,2014,4
Belgium,BEL,2007,4
Belgium,BEL,2010,4
Belgium,BEL,2012,4
Belgium,BEL,2014,4
Belize,BLZ,2007,2
Belize,BLZ,2010,2
Belize,BLZ,2012,2
Belize,BLZ,2014,2
Benin,BEN,2007,4
Benin,BEN,2010,4
Benin,BEN,2012,4
Benin,BEN,2014,4
Bhutan,BTN,2007,2
Bhutan,BTN,2010,4
Bhutan,BTN,2012,4
Bhutan,BTN,2014,4
Bolivia,BOL,2007,4
Bolivia,BOL,2010,4
Bolivia,BOL,2012,4
Bolivia,BOL,2014,4
Bosnia and Herzegovina,BIH,2007,4
Bosnia and Herzegovina,BIH,2010,4
Bosnia and Herzegovina,BIH,2012,4
Bosnia and Herzegovina,BIH,2014,4
Botswana,BWA,2007,4
Botswana,BWA,2010,4
Botswana,BWA,2012,4
Botswana,BWA,2014,4
Brazil,BRA,2007,4
Brazil,BRA,2010,4
Brazil,BRA,2012,5
Brazil,BRA,2014,5
Brunei,BRN,2007,4
Brunei,BRN,2010,4
Brunei,BRN,2012,4
Brunei,BRN,2014,4
Bulgaria,BGR,2007,4
Bulgaria,BGR,2010,4
Bulgaria,BGR,2012,4
Bulgaria,BGR,2014,4
Burkina Faso,BFA,2007,4
Burkina Faso,BFA,2010,4
Burkina Faso,BFA,2012,4
Burkina Faso,BFA,2014,4
Burundi,BDI,2007,2
Burundi,BDI,2010,2
Burundi,BDI,2012,2
Burundi,BDI,2014,2
Cambodia,KHM,2007,2
Cambodia,KHM,2010,2
