Entity,Code,Year,Secondhand smoke
Afghanistan,AFG,1990,2431
Afghanistan,AFG,1995,3890
Afghanistan,AFG,2000,4748
Afghanistan,AFG,2005,5695
Afghanistan,AFG,2006,5660
Afghanistan,AFG,2010,5543
Afghanistan,AFG,2016,6645
Albania,ALB,1990,703
Albania,ALB,1995,635
Albania,ALB,2000,517
Albania,ALB,2005,541
Albania,ALB,2006,535
Albania,ALB,2010,515
Albania,ALB,2016,540
Algeria,DZA,1990,3575
Algeria,DZA,1995,3307
Algeria,DZA,2000,3382
Algeria,DZA,2005,3451
Algeria,DZA,2006,3572
Algeria,DZA,2010,4194
Algeria,DZA,2016,5253
American Samoa,ASM,1990,4
American Samoa,ASM,1995,4
American Samoa,ASM,2000,5
American Samoa,ASM,2005,5
American Samoa,ASM,2006,5
American Samoa,ASM,2010,6
American Samoa,ASM,2016,7
Andorra,AND,1990,5
Andorra,AND,1995,5
Andorra,AND,2000,4
Andorra,AND,2005,4
Andorra,AND,2006,4
Andorra,AND,2010,5
Andorra,AND,2016,5
Angola,AGO,1990,1578
Angola,AGO,1995,1638
Angola,AGO,2000,1635
Angola,AGO,2005,1700
Angola,AGO,2006,1686
Angola,AGO,2010,1668
Angola,AGO,2016,1302
Antigua and Barbuda,ATG,1990,7
Antigua and Barbuda,ATG,1995,8
Antigua and Barbuda,ATG,2000,7
Antigua and Barbuda,ATG,2005,7
Antigua and Barbuda,ATG,2006,8
Antigua and Barbuda,ATG,2010,7
Antigua and Barbuda,ATG,2016,7
Argentina,ARG,1990,4532
Argentina,ARG,1995,4545
Argentina,ARG,2000,4943
Argentina,ARG,2005,4898
Argentina,ARG,2006,4892
Argentina,ARG,2010,5014
Argentina,ARG,2016,4972
Armenia,ARM,1990,969
Armenia,ARM,1995,984
Armenia,ARM,2000,986
Armenia,ARM,2005,941
Armenia,ARM,2006,954
Armenia,ARM,2010,915
Armenia,ARM,2016,878
Australia,AUS,1990,1260
Australia,AUS,1995,1215
Australia,AUS,2000,1185
Australia,AUS,2005,1111
Australia,AUS,2006,1102
Australia,AUS,2010,1046
Australia,AUS,2016,1166
Austria,AUT,1990,683
Austria,AUT,1995,640
Austria,AUT,2000,690
Austria,AUT,2005,669
Austria,AUT,2006,647
Austria,AUT,2010,576
Austria,AUT,2016,571
Azerbaijan,AZE,1990,2713
Azerbaijan,AZE,1995,2773
Azerbaijan,AZE,2000,2455
Azerbaijan,AZE,2005,2545
Azerbaijan,AZE,2006,2598
Azerbaijan,AZE,2010,3009
Azerbaijan,AZE,2016,2820
Bahamas,BHS,1990,13
Bahamas,BHS,1995,16
Bahamas,BHS,2000,17
Bahamas,BHS,2005,19
Bahamas,BHS,2006,19
Bahamas,BHS,2010,23
Bahamas,BHS,2016,30
Bahrain,BHR,1990,38
Bahrain,BHR,1995,46
Bahrain,BHR,2000,51
Bahrain,BHR,2005,59
Bahrain,BHR,2006,61
Bahrain,BHR,2010,70
Bahrain,BHR,2016,81
Bangladesh,BGD,1990,17331
Bangladesh,BGD,1995,13456
Bangladesh,BGD,2000,12880
Bangladesh,BGD,2005,14669
Bangladesh,BGD,2006,14460
Bangladesh,BGD,2010,13983
Bangladesh,BGD,2016,14412
Barbados,BRB,1990,18
Barbados,BRB,1995,21
Barbados,BRB,2000,20
Barbados,BRB,2005,20
Barbados,BRB,2006,20
Barbados,BRB,2010,18
Barbados,BRB,2016,22
Belarus,BLR,1990,2850
Belarus,BLR,1995,2887
Belarus,BLR,2000,2718
Belarus,BLR,2005,2739
Belarus,BLR,2006,2634
Belarus,BLR,2010,2431
Belarus,BLR,2016,2102
Belgium,BEL,1990,1195
Belgium,BEL,1995,1103
Belgium,BEL,2000,1003
Belgium,BEL,2005,840
Belgium,BEL,2006,813
Belgium,BEL,2010,774
Belgium,BEL,2016,785
Belize,BLZ,1990,16
Belize,BLZ,1995,16
Belize,BLZ,2000,16
Belize,BLZ,2005,14
Belize,BLZ,2006,14
Belize,BLZ,2010,15
Belize,BLZ,2016,16
Benin,BEN,1990,634
Benin,BEN,1995,698
Benin,BEN,2000,614
Benin,BEN,2005,515
Benin,BEN,2006,499
Benin,BEN,2010,482
Benin,BEN,2016,452
Bermuda,BMU,1990,7
Bermuda,BMU,1995,8
Bermuda,BMU,2000,7
Bermuda,BMU,2005,5
Bermuda,BMU,2006,5
Bermuda,BMU,2010,5
Bermuda,BMU,2016,4
Bhutan,BTN,1990,110
Bhutan,BTN,1995,87
Bhutan,BTN,2000,84
Bhutan,BTN,2005,75
Bhutan,BTN,2006,72
Bhutan,BTN,2010,66
Bhutan,BTN,2016,73
Bolivia,BOL,1990,1009
Bolivia,BOL,1995,858
Bolivia,BOL,2000,722
Bolivia,BOL,2005,647
Bolivia,BOL,2006,622
Bolivia,BOL,2010,569
Bolivia,BOL,2016,564
Bosnia and Herzegovina,BIH,1990,591
Bosnia and Herzegovina,BIH,1995,610
Bosnia and Herzegovina,BIH,2000,610
Bosnia and Herzegovina,BIH,2005,709
Bosnia and Herzegovina,BIH,2006,721
Bosnia and Herzegovina,BIH,2010,834
Bosnia and Herzegovina,BIH,2016,887
Botswana,BWA,1990,153
Botswana,BWA,1995,183
Botswana,BWA,2000,269
Botswana,BWA,2005,282
Botswana,BWA,2006,272
Botswana,BWA,2010,247
Botswana,BWA,2016,262
Brazil,BRA,1990,19904
Brazil,BRA,1995,19395
Brazil,BRA,2000,17605
Brazil,BRA,2005,16502
Brazil,BRA,2006,16296
Brazil,BRA,2010,16189
Brazil,BRA,2016,22164
Brunei,BRN,1990,14
Brunei,BRN,1995,15
Brunei,BRN,2000,14
Brunei,BRN,2005,16
Brunei,BRN,2006,17
Brunei,BRN,2010,19
Brunei,BRN,2016,24
Bulgaria,BGR,1990,2842
Bulgaria,BGR,1995,3004
Bulgaria,BGR,2000,3044
Bulgaria,BGR,2005,2844
Bulgaria,BGR,2006,2851
Bulgaria,BGR,2010,2636
Bulgaria,BGR,2016,2446
Burkina Faso,BFA,1990,1690
Burkina Faso,BFA,1995,1513
Burkina Faso,BFA,2000,1354
Burkina Faso,BFA,2005,1320
Burkina Faso,BFA,2006,1286
Burkina Faso,BFA,2010,1182
Burkina Faso,BFA,2016,1294
Burundi,BDI,1990,730
Burundi,BDI,1995,633
Burundi,BDI,2000,642
Burundi,BDI,2005,644
Burundi,BDI,2006,612
Burundi,BDI,2010,527
Burundi,BDI,2016,543
Cambodia,KHM,1990,2930
Cambodia,KHM,1995,3029
Cambodia,KHM,2000,3171
Cambodia,KHM,2005,2842
Cambodia,KHM,2006,2715
Cambodia,KHM,2010,2354
Cambodia,KHM,2016,2099
Cameroon,CMR,1990,1024
Cameroon,CMR,1995,1158
Cameroon,CMR,2000,1389
Cameroon,CMR,2005,1316
Cameroon,CMR,2006,1263
Cameroon,CMR,2010,1340
Cameroon,CMR,2016,1350
Canada,CAN,1990,2298
Canada,CAN,1995,2351
Canada,CAN,2000,2200
Canada,CAN,2005,2014
Canada,CAN,2006,2001
Canada,CAN,2010,2005
Canada,CAN,2016,2217
Cape Verde,CPV,1990,24
Cape Verde,CPV,1995,24
Cape Verde,CPV,2000,23
Cape Verde,CPV,2005,22
Cape Verde,CPV,2006,22
Cape Verde,CPV,2010,21
Cape Verde,CPV,2016,20
Caribbean,,1990,4094
Caribbean,,1995,4187
Caribbean,,2000,4039
Caribbean,,2005,3889
Caribbean,,2006,3878
Caribbean,,2010,3835
Caribbean,,2016,4019
Central African Republic,CAF,1990,422
Central African Republic,CAF,1995,471
Central African Republic,CAF,2000,507
Central African Republic,CAF,2005,425
Central African Republic,CAF,2006,437
Central African Republic,CAF,2010,455
Central African Republic,CAF,2016,450
Central Asia,,1990,18602
Central Asia,,1995,19633
Central Asia,,2000,17963
Central Asia,,2005,17971
Central Asia,,2006,17854
Central Asia,,2010,16695
Central Asia,,2016,15572
Central Europe,,1990,29339
Central Europe,,1995,28625
Central Europe,,2000,26349
Central Europe,,2005,25469
Central Europe,,2006,25212
Central Europe,,2010,24652
Central Europe,,2016,23714
Central Sub-Saharan Africa,,1990,6126
Central Sub-Saharan Africa,,1995,6752
Central Sub-Saharan Africa,,2000,7234
Central Sub-Saharan Africa,,2005,7135
Central Sub-Saharan Africa,,2006,7092
Central Sub-Saharan Africa,,2010,6998
Central Sub-Saharan Africa,,2016,6116
Chad,TCD,1990,265
Chad,TCD,1995,313
Chad,TCD,2000,398
Chad,TCD,2005,423
Chad,TCD,2006,438
Chad,TCD,2010,472
Chad,TCD,2016,493
Chile,CHL,1990,1602
Chile,CHL,1995,1605
Chile,CHL,2000,1353
Chile,CHL,2005,1320
Chile,CHL,2006,1282
Chile,CHL,2010,1332
Chile,CHL,2016,1472
China,CHN,1990,285317
China,CHN,1995,278789
China,CHN,2000,257344
China,CHN,2005,243382
China,CHN,2006,236338
China,CHN,2010,231493
China,CHN,2016,231456
Colombia,COL,1990,2897
Colombia,COL,1995,3073
Colombia,COL,2000,3105
Colombia,COL,2005,2932
Colombia,COL,2006,2942
Colombia,COL,2010,2833
Colombia,COL,2016,2857
Comoros,COM,1990,63
Comoros,COM,1995,63
Comoros,COM,2000,58
Comoros,COM,2005,50
Comoros,COM,2006,49
Comoros,COM,2010,45
Comoros,COM,2016,40
Congo,COG,1990,258
Congo,COG,1995,298
Congo,COG,2000,306
Congo,COG,2005,296
Congo,COG,2006,293
Congo,COG,2010,262
Congo,COG,2016,242
Costa Rica,CRI,1990,179
Costa Rica,CRI,1995,188
Costa Rica,CRI,2000,189
Costa Rica,CRI,2005,164
Costa Rica,CRI,2006,160
Costa Rica,CRI,2010,156
Costa Rica,CRI,2016,196
Cote d'Ivoire,CIV,1990,1916
Cote d'Ivoire,CIV,1995,2299
Cote d'Ivoire,CIV,2000,2480
Cote d'Ivoire,CIV,2005,2723
Cote d'Ivoire,CIV,2006,2767
Cote d'Ivoire,CIV,2010,2370
Cote d'Ivoire,CIV,2016,2631
Croatia,HRV,1990,1370
Croatia,HRV,1995,1404
Croatia,HRV,2000,1318
Croatia,HRV,2005,1361
Croatia,HRV,2006,1350
Croatia,HRV,2010,1300
Croatia,HRV,2016,1281
Cuba,CUB,1990,1757
Cuba,CUB,1995,1947
Cuba,CUB,2000,1888
Cuba,CUB,2005,1794
Cuba,CUB,2006,1773
Cuba,CUB,2010,1692
Cuba,CUB,2016,1757
Cyprus,CYP,1990,108
Cyprus,CYP,1995,117
Cyprus,CYP,2000,113
Cyprus,CYP,2005,106
Cyprus,CYP,2006,104
Cyprus,CYP,2010,102
Cyprus,CYP,2016,108
Czech Republic,CZE,1990,2688
Czech Republic,CZE,1995,2270
Czech Republic,CZE,2000,1987
Czech Republic,CZE,2005,1968
Czech Republic,CZE,2006,1954
Czech Republic,CZE,2010,2011
Czech Republic,CZE,2016,2008
Democratic Republic of Congo,COD,1990,3666
Democratic Republic of Congo,COD,1995,4144
Democratic Republic of Congo,COD,2000,4588
Democratic Republic of Congo,COD,2005,4534
Democratic Republic of Congo,COD,2006,4500
Democratic Republic of Congo,COD,2010,4465
Democratic Republic of Congo,COD,2016,3985
Denmark,DNK,1990,534
Denmark,DNK,1995,508
Denmark,DNK,2000,396
Denmark,DNK,2005,318
Denmark,DNK,2006,306
Denmark,DNK,2010,275
Denmark,DNK,2016,276
Djibouti,DJI,1990,147
Djibouti,DJI,1995,163
Djibouti,DJI,2000,161
Djibouti,DJI,2005,142
Djibouti,DJI,2006,139
Djibouti,DJI,2010,131
Djibouti,DJI,2016,105
Dominica,DMA,1990,6
Dominica,DMA,1995,7
Dominica,DMA,2000,6
Dominica,DMA,2005,6
Dominica,DMA,2006,6
Dominica,DMA,2010,6
Dominica,DMA,2016,6
Dominican Republic,DOM,1990,421
Dominican Republic,DOM,1995,447
Dominican Republic,DOM,2000,423
Dominican Republic,DOM,2005,458
Dominican Republic,DOM,2006,462
Dominican Republic,DOM,2010,469
Dominican Republic,DOM,2016,499
East Asia,,1990,290445
East Asia,,1995,284845
East Asia,,2000,264555
East Asia,,2005,251104
East Asia,,2006,244117
East Asia,,2010,239817
East Asia,,2016,240364
Eastern Europe,,1990,55642
Eastern Europe,,1995,67929
Eastern Europe,,2000,64477
Eastern Europe,,2005,63587
Eastern Europe,,2006,59738
Eastern Europe,,2010,52633
Eastern Europe,,2016,47903
Eastern Sub-Saharan Africa,,1990,21834
Eastern Sub-Saharan Africa,,1995,21831
Eastern Sub-Saharan Africa,,2000,21045
Eastern Sub-Saharan Africa,,2005,19157
Eastern Sub-Saharan Africa,,2006,18937
Eastern Sub-Saharan Africa,,2010,18154
Eastern Sub-Saharan Africa,,2016,16629
Ecuador,ECU,1990,663
Ecuador,ECU,1995,681
Ecuador,ECU,2000,667
Ecuador,ECU,2005,645
Ecuador,ECU,2006,621
Ecuador,ECU,2010,545
Ecuador,ECU,2016,589
Egypt,EGY,1990,17575
Egypt,EGY,1995,14462
Egypt,EGY,2000,12865
Egypt,EGY,2005,12568
Egypt,EGY,2006,12365
Egypt,EGY,2010,13350
Egypt,EGY,2016,11767
El Salvador,SLV,1990,351
El Salvador,SLV,1995,352
El Salvador,SLV,2000,353
El Salvador,SLV,2005,358
El Salvador,SLV,2006,361
El Salvador,SLV,2010,382
El Salvador,SLV,2016,413
England,,1990,6881
England,,1995,6282
England,,2000,4753
England,,2005,3709
England,,2006,3569
England,,2010,3152
England,,2016,3270
Equatorial Guinea,GNQ,1990,69
Equatorial Guinea,GNQ,1995,64
Equatorial Guinea,GNQ,2000,44
