Entity,Code,Year,"Number of daily smokers - both (IHME, GHDx (2012))"
Afghanistan,AFG,1980,733520
Afghanistan,AFG,1981,720102
Afghanistan,AFG,1982,700415
Afghanistan,AFG,1983,676984
Afghanistan,AFG,1984,653812
Afghanistan,AFG,1985,634732
Afghanistan,AFG,1986,619871
Afghanistan,AFG,1987,608651
Afghanistan,AFG,1988,606307
Afghanistan,AFG,1989,619534
Afghanistan,AFG,1990,652030
Afghanistan,AFG,1991,707278
Afghanistan,AFG,1992,783101
Afghanistan,AFG,1993,869965
Afghanistan,AFG,1994,954455
Afghanistan,AFG,1995,1028533
Afghanistan,AFG,1996,1086454
Afghanistan,AFG,1997,1131993
Afghanistan,AFG,1998,1163473
Afghanistan,AFG,1999,1192680
Afghanistan,AFG,2000,1228925
Afghanistan,AFG,2001,1274895
Afghanistan,AFG,2002,1329825
Afghanistan,AFG,2003,1390046
Afghanistan,AFG,2004,1449475
Afghanistan,AFG,2005,1504433
Afghanistan,AFG,2006,1553745
Afghanistan,AFG,2007,1599691
Afghanistan,AFG,2008,1644245
Afghanistan,AFG,2009,1691957
Afghanistan,AFG,2010,1743624
Afghanistan,AFG,2011,1800309
Afghanistan,AFG,2012,1862700
Albania,ALB,1980,360902
Albania,ALB,1981,371658
Albania,ALB,1982,382557
Albania,ALB,1983,393867
Albania,ALB,1984,405919
Albania,ALB,1985,418871
Albania,ALB,1986,433002
Albania,ALB,1987,448005
Albania,ALB,1988,462614
Albania,ALB,1989,474490
Albania,ALB,1990,482850
Albania,ALB,1991,487892
Albania,ALB,1992,489417
Albania,ALB,1993,488078
Albania,ALB,1994,485775
Albania,ALB,1995,483593
Albania,ALB,1996,481723
Albania,ALB,1997,475222
Albania,ALB,1998,470397
Albania,ALB,1999,465894
Albania,ALB,2000,461078
Albania,ALB,2001,455877
Albania,ALB,2002,450636
Albania,ALB,2003,434588
Albania,ALB,2004,422860
Albania,ALB,2005,426583
Albania,ALB,2006,433852
Albania,ALB,2007,443830
Albania,ALB,2008,455797
Albania,ALB,2009,469352
Albania,ALB,2010,481678
Albania,ALB,2011,494981
Albania,ALB,2012,509040
Algeria,DZA,1980,1636110
Algeria,DZA,1981,1696285
Algeria,DZA,1982,1759249
Algeria,DZA,1983,1826283
Algeria,DZA,1984,1896411
Algeria,DZA,1985,1969586
Algeria,DZA,1986,2045829
Algeria,DZA,1987,2125295
Algeria,DZA,1988,2211486
Algeria,DZA,1989,2302051
Algeria,DZA,1990,2396876
Algeria,DZA,1991,2497165
Algeria,DZA,1992,2602202
Algeria,DZA,1993,2714059
Algeria,DZA,1994,2831649
Algeria,DZA,1995,2954172
Algeria,DZA,1996,3081682
Algeria,DZA,1997,3138907
Algeria,DZA,1998,3190250
Algeria,DZA,1999,3243047
Algeria,DZA,2000,3296121
Algeria,DZA,2001,3344091
Algeria,DZA,2002,3378788
Algeria,DZA,2003,3297692
Algeria,DZA,2004,3205753
Algeria,DZA,2005,3115071
Algeria,DZA,2006,3051530
Algeria,DZA,2007,2999483
Algeria,DZA,2008,2962131
