Entity,Code,Year,70+ years old (deaths),5-14 years old (deaths),15-49 years old (deaths),50-69 years old (deaths),Under-5s (deaths)
Afghanistan,AFG,1990,401.257904466,25.4839100583,294.739467515,678.720191154,1031.22345333
Afghanistan,AFG,1995,708.99474728,44.6592112064,491.258661662,1145.93533168,1499.328413
Afghanistan,AFG,2000,944.412340607,54.0013672913,616.0676443,1482.09568146,1651.88688783
Afghanistan,AFG,2005,1100.3960479,92.4275542482,726.575756651,1795.00576721,1980.18424692
Afghanistan,AFG,2006,1134.38806236,90.3649629407,739.316803535,1832.8465196,1863.23093349
Afghanistan,AFG,2010,1373.18173545,59.4534116614,839.732591868,2105.56753376,1165.53441213
Afghanistan,AFG,2016,1674.21918091,90.8963404467,1029.76690925,2475.47388873,1374.39724098
Albania,ALB,1990,227.613236178,9.05105786912,28.3941363364,94.0446180842,343.584336904
Albania,ALB,1995,237.56172092,8.85573410304,29.3245936143,101.111102944,258.090440742
Albania,ALB,2000,271.921848708,6.58483344652,34.0343258795,110.207767328,94.7502005706
Albania,ALB,2005,336.267010586,5.07185613201,37.5000122355,123.634785031,38.6242863152
Albania,ALB,2006,338.977207751,4.4996344996,36.7263276988,121.762061073,32.7293296644
Albania,ALB,2010,347.413537888,2.5175957321,29.8095605428,115.805349854,19.6028253084
Albania,ALB,2016,374.032611765,1.3608631438,23.8231246813,124.361472954,16.6642783689
Algeria,DZA,1990,1291.67780378,55.3220217228,422.608768815,980.579489916,824.656490023
Algeria,DZA,1995,1356.11142916,43.8491516589,414.496092451,983.61721688,509.102222232
Algeria,DZA,2000,1531.55115925,34.3912378741,425.089655194,1038.22814727,353.18884785
Algeria,DZA,2005,1747.45921615,23.3872521273,381.309595147,1072.02446385,226.790129895
Algeria,DZA,2006,1843.67285048,22.5303336095,381.746856936,1108.25457599,216.260031308
Algeria,DZA,2010,2345.46296069,19.8038925659,390.12550483,1270.93609802,167.307931793
Algeria,DZA,2016,3113.37261002,21.0404344112,425.394768061,1593.09206811,100.003082313
American Samoa,ASM,1990,1.74016255402,0.0207571992784,0.481453936699,1.45066687295,0.255596215731
American Samoa,ASM,1995,1.86286028692,0.0231422039747,0.603239311344,1.74035046411,0.244043547774
American Samoa,ASM,2000,2.01788567081,0.0249548258858,0.690191997383,1.94553595236,0.228598757514
American Samoa,ASM,2005,2.16708458944,0.0225085058934,0.792689884645,2.14880434539,0.174211491461
American Samoa,ASM,2006,2.17367392674,0.0220468009702,0.808711456068,2.16141373249,0.163561327037
American Samoa,ASM,2010,2.25633343094,0.0216219161398,0.91567011856,2.30397163936,0.127176917118
American Samoa,ASM,2016,2.62699623968,0.0215668854469,1.23122971339,2.82733082359,0.0872242872403
Andean Latin America,,1990,911.893701153,83.0981417834,277.26089861,554.480070275,1894.24064955
Andean Latin America,,1995,1045.61802354,66.4748411367,293.642810817,612.510196258,1268.06216253
Andean Latin America,,2000,1101.23527024,56.4844534635,263.969988491,572.28637442,809.169280212
Andean Latin America,,2005,1143.9594102,49.212082352,250.884454459,545.161584918,558.595079409
Andean Latin America,,2006,1124.82187731,46.6702960701,243.200523026,532.235872405,509.307122235
Andean Latin America,,2010,1130.88984678,36.6174096672,235.003894676,542.977532597,365.759347585
Andean Latin America,,2016,1315.14198223,26.8884367585,210.383203098,578.049432171,251.199294137
Andorra,AND,1990,3.54528357557,0.00463288501349,0.144251954617,1.02212156026,0.0261792207701
Andorra,AND,1995,3.90416896287,0.00387447941127,0.160408954069,1.07001456319,0.0193767312376
Andorra,AND,2000,3.00467171347,0.00289788824067,0.129439612611,0.825708655746,0.012398595233
Andorra,AND,2005,3.31160518249,0.00309739322102,0.139688866874,0.839291361225,0.0127498157
Andorra,AND,2006,3.42693739182,0.0031111341181,0.142059106708,0.850704456783,0.01274360764
Andorra,AND,2010,3.74846848036,0.00286244897993,0.149430109208,0.889828998037,0.0122361644396
Andorra,AND,2016,3.99970245082,0.00273093390622,0.155579141917,0.928147438618,0.011773514606
Angola,AGO,1990,159.800890823,33.9449318667,111.092949353,205.853023084,1066.92552071
Angola,AGO,1995,192.609385121,37.3325081649,134.382048679,242.373304746,1031.03758034
Angola,AGO,2000,204.65685154,38.0319266377,138.131239629,239.053791549,1015.6120072
Angola,AGO,2005,223.274745733,43.4327239449,147.577628646,257.466464691,1028.3932906
Angola,AGO,2006,226.112314788,43.7923994865,148.338213897,259.919817134,1007.5135765
Angola,AGO,2010,237.919876689,45.7917752147,145.465421508,268.721796461,969.784519884
Angola,AGO,2016,260.20355717,34.4681980198,148.479764063,296.245608553,562.395355259
Antigua and Barbuda,ATG,1990,4.21134456458,0.0184929905763,0.596492849203,2.1197668501,0.172622132774
Antigua and Barbuda,ATG,1995,4.53520260271,0.0160193417487,0.647631905838,2.35921114485,0.201342718951
Antigua and Barbuda,ATG,2000,4.4017705597,0.020352056941,0.632404336244,2.09340674594,0.225452317318
Antigua and Barbuda,ATG,2005,4.3698589879,0.0273402000623,0.706138748793,2.0660220817,0.228566804808
Antigua and Barbuda,ATG,2006,4.44233454984,0.0272913376496,0.71880801701,2.09908475831,0.222287121818
Antigua and Barbuda,ATG,2010,3.96096045103,0.0239382607795,0.725105335142,2.10178568592,0.196347005624
Antigua and Barbuda,ATG,2016,3.88126666864,0.019207040621,0.711234927508,2.51144502092,0.160715459505
Argentina,ARG,1990,2714.15244991,19.167666406,265.817914499,1171.21870182,361.792688937
Argentina,ARG,1995,2788.80506847,18.3300778829,271.414862429,1178.32541827,288.036940498
Argentina,ARG,2000,3270.02714199,17.2215618232,264.358508579,1205.27976554,186.591461795
Argentina,ARG,2005,3350.42113888,16.7535740379,241.605683069,1149.46143762,139.95522897
Argentina,ARG,2006,3343.26051104,17.5504471375,243.694365456,1152.40826758,134.859553762
Argentina,ARG,2010,3440.21739267,15.7539721563,254.698965869,1182.66509831,120.200734897
Argentina,ARG,2016,3445.18408665,13.0861571235,250.194435089,1176.72787781,86.9838516301
Armenia,ARM,1990,447.677837441,9.28939452991,35.2483195432,235.256811767,241.627798779
Armenia,ARM,1995,499.890760651,7.74316552061,42.9850269242,300.599762467,132.288312285
Armenia,ARM,2000,617.329275322,4.47932078515,41.4413674839,260.373832708,62.1441413303
Armenia,ARM,2005,629.208658152,3.10816487877,40.1239797852,223.485752354,45.1999674685
Armenia,ARM,2006,652.353068946,2.89417646994,40.3067567888,217.340455639,40.9070706384
Armenia,ARM,2010,666.514195386,2.36989997195,33.9155626555,174.790295224,37.6892678986
Armenia,ARM,2016,626.502506297,1.66364196902,23.4856530993,197.747999443,28.9813673314
Australasia,,1990,921.128514597,1.21715251785,90.0766642151,483.543863487,14.3711183722
Australasia,,1995,940.840376805,1.08769565545,88.8212618521,407.583336812,9.75965770905
Australasia,,2000,942.318321261,1.0122780997,89.2487476433,361.02517254,8.28830488577
Australasia,,2005,895.279032911,0.827320383395,84.6628840018,331.930942212,8.34654920304
Australasia,,2006,893.285503232,0.802793164308,82.794333455,328.984123914,8.32403680055
Australasia,,2010,846.442367368,0.750371082741,76.3174544864,315.206489426,7.42025764678
Australasia,,2016,944.806173851,0.685353389167,75.1134087025,348.744017903,5.74683675196
Australia,AUS,1990,775.870967197,0.934853386904,72.6703291611,401.270852962,9.58010536142
Australia,AUS,1995,797.996560474,0.906051536872,71.7647068037,337.129079063,6.87710445311
Australia,AUS,2000,804.933639689,0.892290953612,73.017846672,299.805747959,6.73922322656
Australia,AUS,2005,760.714251916,0.73349790342,68.5882879943,273.954153079,6.86473633662
Australia,AUS,2006,757.506566803,0.714713305778,66.9139844259,270.071626037,6.72153135462
Australia,AUS,2010,718.701402832,0.6788941526,61.9805355636,258.870728042,5.67223600462
Australia,AUS,2016,809.071287332,0.615771272672,62.8751752854,289.20733763,4.47537993023
Austria,AUT,1990,452.14851537,0.611614164087,29.8262973994,194.014976906,6.17896505391
Austria,AUT,1995,444.314637606,0.421842752783,25.6332497419,167.218314423,2.55474866189
Austria,AUT,2000,511.665808164,0.348545417427,22.422867522,154.031529211,1.66053889329
Austria,AUT,2005,519.803232433,0.272387084286,18.1585661998,129.09424464,1.3465862716
Austria,AUT,2006,500.278981897,0.232535535911,17.6957242468,127.353312711,1.22529456141
Austria,AUT,2010,439.317479925,0.171948494522,16.5507948877,118.522419527,1.12954074512
Austria,AUT,2016,450.556311018,0.132851302459,13.3009142714,106.132593172,0.702995342997
Azerbaijan,AZE,1990,725.437469681,55.6743403962,115.672115806,507.398901959,1308.50371709
Azerbaijan,AZE,1995,698.228133742,82.1294258786,165.165042795,733.686064085,1093.75269683
Azerbaijan,AZE,2000,854.393848011,87.7240437336,163.391599649,719.978207918,629.571478226
Azerbaijan,AZE,2005,1084.36567608,53.9139722967,198.460750308,656.615092711,552.044480555
Azerbaijan,AZE,2006,1141.9208579,50.3700563617,203.279912742,635.385921926,566.705109767
Azerbaijan,AZE,2010,1534.69811194,44.5888194584,201.183388084,661.112555549,567.886744793
Azerbaijan,AZE,2016,1364.46577075,28.7529479058,182.416619412,838.912583496,405.809402891
Bahamas,BHS,1990,5.48959160162,0.084341688302,2.2495500992,4.45956452951,1.09967441634
Bahamas,BHS,1995,7.11669323011,0.0755051906593,2.50980053448,5.56858284844,0.819381975894
Bahamas,BHS,2000,8.53136265416,0.0639530815603,2.21259470917,5.99691826782,0.621362386424
