Entity,Code,Year, (% of adults)
Albania,ALB,2000,11.6
Albania,ALB,2005,10.1
Albania,ALB,2010,8.7
Albania,ALB,2012,8.2
Albania,ALB,2015,7.6
Andorra,AND,2000,31.6
Andorra,AND,2005,30.2
Andorra,AND,2010,28.8
Andorra,AND,2012,28.4
Andorra,AND,2015,27.8
Argentina,ARG,2000,34
Argentina,ARG,2005,27.7
Argentina,ARG,2010,22.4
Argentina,ARG,2012,20.8
Argentina,ARG,2015,18.4
Armenia,ARM,2000,2.6
Armenia,ARM,2005,2.2
Armenia,ARM,2010,1.8
Armenia,ARM,2012,1.7
Armenia,ARM,2015,1.5
Australia,AUS,2000,22.8
Australia,AUS,2005,19.1
Australia,AUS,2010,15.8
Australia,AUS,2012,14.7
Australia,AUS,2015,13.1
Austria,AUT,2000,40.5
Austria,AUT,2005,38.4
Austria,AUT,2010,36.7
Austria,AUT,2012,35.9
Austria,AUT,2015,34.8
Azerbaijan,AZE,2000,0.6
Azerbaijan,AZE,2005,0.5
Azerbaijan,AZE,2010,0.5
Azerbaijan,AZE,2012,0.4
Azerbaijan,AZE,2015,0.4
Bahrain,BHR,2000,4.8
Bahrain,BHR,2005,5.6
Bahrain,BHR,2010,6.5
Bahrain,BHR,2012,6.9
Bahrain,BHR,2015,7.6
Bangladesh,BGD,2000,6.3
Bangladesh,BGD,2005,3
Bangladesh,BGD,2010,1.4
Bangladesh,BGD,2012,1.1
Bangladesh,BGD,2015,0.7
Barbados,BRB,2000,1.8
Barbados,BRB,2005,1.4
Barbados,BRB,2010,1.2
Barbados,BRB,2012,1.1
Barbados,BRB,2015,0.9
Belarus,BLR,2000,13.4
Belarus,BLR,2005,12.3
Belarus,BLR,2010,11.4
Belarus,BLR,2012,11
Belarus,BLR,2015,10.6
Belgium,BEL,2000,24.3
Belgium,BEL,2005,22.7
Belgium,BEL,2010,21.3
Belgium,BEL,2012,20.9
Belgium,BEL,2015,20
Benin,BEN,2000,1.6
Benin,BEN,2005,1.3
Benin,BEN,2010,1.1
Benin,BEN,2012,1.1
Benin,BEN,2015,1
Bolivia,BOL,2000,26.4
Bolivia,BOL,2005,22.8
Bolivia,BOL,2010,19.7
Bolivia,BOL,2012,18.6
Bolivia,BOL,2015,17.1
Bosnia and Herzegovina,BIH,2000,35.9
Bosnia and Herzegovina,BIH,2005,33.6
Bosnia and Herzegovina,BIH,2010,31.7
Bosnia and Herzegovina,BIH,2012,31.2
Bosnia and Herzegovina,BIH,2015,30
Brazil,BRA,2000,18.5
Brazil,BRA,2005,15.6
Brazil,BRA,2010,13.3
Brazil,BRA,2012,12.4
Brazil,BRA,2015,11.3
Brunei,BRN,2000,5.1
Brunei,BRN,2005,4.3
Brunei,BRN,2010,3.6
Brunei,BRN,2012,3.4
Brunei,BRN,2015,3.1
Bulgaria,BGR,2000,42
Bulgaria,BGR,2005,36.4
Bulgaria,BGR,2010,32
Bulgaria,BGR,2012,30.4
Bulgaria,BGR,2015,28.2
Burkina Faso,BFA,2000,8.6
Burkina Faso,BFA,2005,6.9
Burkina Faso,BFA,2010,5.5
Burkina Faso,BFA,2012,5.1
Burkina Faso,BFA,2015,4.5
Cambodia,KHM,2000,8.1
Cambodia,KHM,2005,5.7
Cambodia,KHM,2010,4
Cambodia,KHM,2012,3.5
Cambodia,KHM,2015,2.8
Cameroon,CMR,2000,0.9
Cameroon,CMR,2005,0.9
Cameroon,CMR,2010,0.9
Cameroon,CMR,2012,0.9
Cameroon,CMR,2015,0.9
Canada,CAN,2000,26.5
Canada,CAN,2005,20.4
Canada,CAN,2010,15.8
Canada,CAN,2012,14.2
Canada,CAN,2015,12.2
Cape Verde,CPV,2000,5.9
Cape Verde,CPV,2005,4.9
Cape Verde,CPV,2010,4.1
Cape Verde,CPV,2012,3.9
Cape Verde,CPV,2015,3.5
Central Europe and the Baltics,,2000,32.4503275752497
Central Europe and the Baltics,,2005,29.2623163678176
Central Europe and the Baltics,,2010,26.6549917278246
Central Europe and the Baltics,,2012,25.7074665844153
Central Europe and the Baltics,,2015,24.3672824641708
Chile,CHL,2000,43.6
Chile,CHL,2005,40.8
Chile,CHL,2010,38.3
Chile,CHL,2012,37.4
Chile,CHL,2015,36
China,CHN,2000,3.5
China,CHN,2005,2.8
China,CHN,2010,2.2
China,CHN,2012,2
China,CHN,2015,1.8
Colombia,COL,2000,10.6
Colombia,COL,2005,8.8
Colombia,COL,2010,7.4
Colombia,COL,2012,6.9
Colombia,COL,2015,6.2
Comoros,COM,2000,14
Comoros,COM,2005,10.5
Comoros,COM,2010,7.9
Comoros,COM,2012,7.1
Comoros,COM,2015,6
Congo,COG,2000,1.6
Congo,COG,2005,1.6
Congo,COG,2010,1.7
Congo,COG,2012,1.7
Congo,COG,2015,1.7
Costa Rica,CRI,2000,14.1
Costa Rica,CRI,2005,11.7
Costa Rica,CRI,2010,9.8
Costa Rica,CRI,2012,9.2
Costa Rica,CRI,2015,8.3
Croatia,HRV,2000,28
Croatia,HRV,2005,29.6
Croatia,HRV,2010,31.6
Croatia,HRV,2012,32.3
Croatia,HRV,2015,33.5
Cuba,CUB,2000,31.1
Cuba,CUB,2005,25.6
Cuba,CUB,2010,21.3
Cuba,CUB,2012,19.8
Cuba,CUB,2015,17.8
Czech Republic,CZE,2000,29.7
Czech Republic,CZE,2005,29.4
Czech Republic,CZE,2010,29.2
Czech Republic,CZE,2012,28.9
Czech Republic,CZE,2015,29
Denmark,DNK,2000,34.6
Denmark,DNK,2005,27
Denmark,DNK,2010,20.9
Denmark,DNK,2012,19
Denmark,DNK,2015,16.4
Dominican Republic,DOM,2000,15.2
Dominican Republic,DOM,2005,12.9
Dominican Republic,DOM,2010,10.9
Dominican Republic,DOM,2012,10.3
Dominican Republic,DOM,2015,9.4
Early-demographic dividend,,2000,8.63748460757267
Early-demographic dividend,,2005,6.14728895077022
Early-demographic dividend,,2010,4.50232252720791
Early-demographic dividend,,2012,4.01243296398769
Early-demographic dividend,,2015,3.43581287221739
East Asia & Pacific,,2000,5.33587227370413
East Asia & Pacific,,2005,4.36357439237084
East Asia & Pacific,,2010,3.57949170488148
East Asia & Pacific,,2012,3.33889504340335
East Asia & Pacific,,2015,3.03997983093534
East Asia & Pacific (IDA & IBRD),,2000,4.47021578504147
East Asia & Pacific (IDA & IBRD),,2005,3.61836341163597
East Asia & Pacific (IDA & IBRD),,2010,2.93209918828446
East Asia & Pacific (IDA & IBRD),,2012,2.72432469511432
East Asia & Pacific (IDA & IBRD),,2015,2.47694938542646
East Asia & Pacific (excluding high income),,2000,4.47021578504147
East Asia & Pacific (excluding high income),,2005,3.61836341163597
East Asia & Pacific (excluding high income),,2010,2.93209918828446
East Asia & Pacific (excluding high income),,2012,2.72432469511432
East Asia & Pacific (excluding high income),,2015,2.47694938542646
Ecuador,ECU,2000,5.3
Ecuador,ECU,2005,4.5
Ecuador,ECU,2010,3.8
Ecuador,ECU,2012,3.6
Ecuador,ECU,2015,3.3
Egypt,EGY,2000,1.2
Egypt,EGY,2005,0.8
Egypt,EGY,2010,0.5
Egypt,EGY,2012,0.4
Egypt,EGY,2015,0.3
Estonia,EST,2000,27.4
Estonia,EST,2005,26.5
Estonia,EST,2010,25.6
Estonia,EST,2012,25.4
Estonia,EST,2015,24.9
Ethiopia,ETH,2000,0.6
Ethiopia,ETH,2005,0.6
Ethiopia,ETH,2010,0.5
Ethiopia,ETH,2012,0.5
Ethiopia,ETH,2015,0.5
Euro area,,2000,27.883564286147
Euro area,,2005,26.744265660706
Euro area,,2010,25.7335665173465
Euro area,,2012,25.3156028582297
Euro area,,2015,24.833334497008
Europe & Central Asia,,2000,24.6416106653595
Europe & Central Asia,,2005,22.993379773476
Europe & Central Asia,,2010,21.5716168696275
