Entity,Code,Year,70+ years old (deaths),15-49 years old (deaths),50-69 years old (deaths)
Afghanistan,AFG,1990,1246.23802962,2053.6850696,3497.16064064
Afghanistan,AFG,1995,1974.93562461,3094.63054059,5519.81076128
Afghanistan,AFG,2000,2429.37135308,3757.90301376,6799.48099842
Afghanistan,AFG,2005,2848.21381088,4537.789004,8483.81598364
Afghanistan,AFG,2006,2951.94080649,4653.88086312,8730.74927065
Afghanistan,AFG,2010,3306.43059361,4953.97542297,9416.09661339
Afghanistan,AFG,2016,4057.74507457,5888.61194124,11005.5586387
Albania,ALB,1990,1118.9525199,195.664902711,976.85229887
Albania,ALB,1995,1210.30791961,207.313356471,1059.08829791
Albania,ALB,2000,1471.49169463,288.469208569,1164.87276189
Albania,ALB,2005,1741.6601832,322.954361836,1245.85332777
Albania,ALB,2006,1766.5722549,316.244854152,1234.56272223
Albania,ALB,2010,1899.23234531,269.06293695,1216.7386104
Albania,ALB,2016,2063.99200717,215.044222168,1358.92614434
Algeria,DZA,1990,3007.50542829,1406.60875396,4198.14928536
Algeria,DZA,1995,3266.61919717,1525.46624771,4310.90923612
Algeria,DZA,2000,3429.76605919,1557.67419482,4250.89984689
Algeria,DZA,2005,3707.66344163,1460.47917992,4263.11374651
Algeria,DZA,2006,3707.05715132,1423.90116995,4223.52559424
Algeria,DZA,2010,3836.88156171,1362.39068445,4281.34159723
Algeria,DZA,2016,3618.4256422,1502.68344598,4954.45235327
American Samoa,ASM,1990,10.5173821773,7.59324204851,16.4224017694
American Samoa,ASM,1995,10.4689348209,8.51129958881,17.7080687439
American Samoa,ASM,2000,10.0047987383,8.86838738862,18.0037214696
American Samoa,ASM,2005,9.91864644685,10.1714328774,19.8896318809
American Samoa,ASM,2006,9.79766076384,10.2584522304,19.9258979801
American Samoa,ASM,2010,9.58740729744,11.0926064511,20.6769167954
American Samoa,ASM,2016,10.422241656,13.7560768011,24.0682925754
Andean Latin America,,1990,4173.62291093,1860.23060852,4058.0657572
Andean Latin America,,1995,5260.81454646,2014.12838617,4477.79928693
Andean Latin America,,2000,5437.71445153,1709.9491558,3976.15248551
Andean Latin America,,2005,6236.54457983,1603.24427997,3867.0455612
Andean Latin America,,2006,6368.52296989,1575.97996005,3783.07097887
Andean Latin America,,2010,7271.3652407,1599.82509023,4042.2175577
Andean Latin America,,2016,8187.02052562,1369.31286723,4135.42692325
Andorra,AND,1990,31.6927395847,3.03999243366,21.4471862429
Andorra,AND,1995,37.8460078848,3.36774162497,23.0340503746
Andorra,AND,2000,37.3157638288,2.84226354003,20.1528747417
Andorra,AND,2005,47.0315449893,3.01017330906,22.2365270526
Andorra,AND,2006,49.0125654538,3.02635801436,22.5821175987
Andorra,AND,2010,57.0047424058,3.08248425633,23.8374744751
Andorra,AND,2016,67.1737887876,3.18921521446,25.44112292
Angola,AGO,1990,640.881484008,747.731210009,1701.45662569
Angola,AGO,1995,740.517454585,841.451490648,1877.57987625
Angola,AGO,2000,807.986014419,853.861503326,1844.58012197
Angola,AGO,2005,905.014284253,913.789080208,1967.50207337
Angola,AGO,2006,931.721820974,933.759824762,2005.91354857
Angola,AGO,2010,1033.45992672,1022.65283806,2207.75178402
Angola,AGO,2016,1243.51612072,1238.36215562,2727.65649621
Antigua and Barbuda,ATG,1990,4.92239017119,1.33534701135,5.39170530345
Antigua and Barbuda,ATG,1995,4.14635560002,1.36903329311,5.63016701004
Antigua and Barbuda,ATG,2000,4.27124524514,1.39877052409,5.37326513424
Antigua and Barbuda,ATG,2005,3.56382344633,1.65168188221,4.76675182044
Antigua and Barbuda,ATG,2006,3.66350767335,1.61843207072,4.84565031952
Antigua and Barbuda,ATG,2010,3.36717950649,1.60106662344,5.06495434405
Antigua and Barbuda,ATG,2016,3.49572263429,1.62799621262,6.35274507672
Argentina,ARG,1990,14844.9480225,4856.06429312,19677.2119569
Argentina,ARG,1995,16323.3898737,4610.19186567,18919.1611797
Argentina,ARG,2000,19235.6127129,4197.83076795,18439.2588683
Argentina,ARG,2005,20361.1981898,3594.65570799,18394.123677
Argentina,ARG,2006,20504.061873,3497.09246033,18396.2619444
Argentina,ARG,2010,21261.4141894,3217.80064593,18580.0389931
Argentina,ARG,2016,22331.4340845,2995.00001278,18364.5099219
Armenia,ARM,1990,994.788067234,481.200269421,2533.97667769
Armenia,ARM,1995,1131.53676964,651.808656454,3076.02980047
Armenia,ARM,2000,1654.27663554,575.685292624,2331.81679841
Armenia,ARM,2005,2086.81828514,595.32929691,2250.82486783
Armenia,ARM,2006,2237.02389465,602.02080557,2259.52676093
Armenia,ARM,2010,2382.19261537,501.868111522,2020.76312493
Armenia,ARM,2016,1769.19372665,320.955504089,2256.04517617
Australasia,,1990,13822.8232982,1353.74594102,10365.8102563
Australasia,,1995,14736.5718938,1260.81417717,8692.3310864
Australasia,,2000,14819.0016268,1183.33806283,7224.43820066
Australasia,,2005,14462.4163703,1104.47354848,6711.69635902
Australasia,,2006,14682.2591866,1085.89015054,6729.69820346
Australasia,,2010,15539.8664852,1006.31349738,6859.21354921
Australasia,,2016,17298.4715028,873.009141898,7552.14460044
Australia,AUS,1990,11184.6128144,1089.46157843,8399.23562673
Australia,AUS,1995,12002.8151035,1015.58729851,6994.64677457
Australia,AUS,2000,12139.1092241,951.878766976,5801.45054688
Australia,AUS,2005,11859.322991,875.316524268,5398.46358714
Australia,AUS,2006,12048.2003608,863.856052426,5404.01059799
Australia,AUS,2010,12880.8859788,807.24451953,5573.57966551
Australia,AUS,2016,14383.6278138,710.545605762,6172.56744169
Austria,AUT,1990,5902.90933461,757.433910153,4512.83172916
Austria,AUT,1995,5720.27569023,718.937616048,4208.07006021
Austria,AUT,2000,5736.14182676,644.927529802,3778.42389467
Austria,AUT,2005,5266.62369687,536.864391116,3665.15947575
Austria,AUT,2006,5159.64002323,520.111048589,3686.11561977
Austria,AUT,2010,5080.36997759,473.998240192,3761.32690471
Austria,AUT,2016,5689.2887366,362.674490542,3636.43745652
Azerbaijan,AZE,1990,1234.53429697,1035.84095242,3699.84604586
Azerbaijan,AZE,1995,1047.43230167,1544.20000008,4343.94795625
Azerbaijan,AZE,2000,1483.8724228,1531.68456447,3899.99569875
Azerbaijan,AZE,2005,2068.51998162,1858.71858109,3703.50851252
Azerbaijan,AZE,2006,2231.61443097,1831.39148022,3766.92643516
Azerbaijan,AZE,2010,2745.4248769,1690.49357234,4256.74077506
Azerbaijan,AZE,2016,2370.39118612,1540.95030819,5518.2462705
Bahamas,BHS,1990,24.733254486,24.8891732489,48.5276163271
Bahamas,BHS,1995,29.0275179203,27.0479631773,53.3208896163
Bahamas,BHS,2000,33.0611307581,21.925451966,54.7615637765
Bahamas,BHS,2005,35.5584109053,28.0715277361,58.7371950347
Bahamas,BHS,2006,35.4998734002,26.2853103379,56.9223965853
Bahamas,BHS,2010,39.1624559389,30.5984562086,61.0001202074
Bahamas,BHS,2016,50.3277238686,29.4052511923,76.5135379161
Bahrain,BHR,1990,99.6689159628,45.5157242198,135.695201364
Bahrain,BHR,1995,115.719484194,47.0320542373,125.338955922
Bahrain,BHR,2000,103.018989622,53.7505929144,109.531453155
Bahrain,BHR,2005,109.621496753,47.4502879896,99.3184948269
Bahrain,BHR,2006,110.681008163,46.7964332413,100.677134129
