Entity,Code,Year,Indicator:Average - taxes as a % of cigarette price - total tax (%)
Algeria,DZA,2012,47
Algeria,DZA,2014,40.9
Argentina,ARG,2012,69.9
Argentina,ARG,2014,69.7
Armenia,ARM,2012,38.4
Armenia,ARM,2014,44.1
Australia,AUS,2012,63.1
Australia,AUS,2014,58.4
Austria,AUT,2012,75
Austria,AUT,2014,74.9
Azerbaijan,AZE,2012,19.8
Azerbaijan,AZE,2014,17.6
Bahamas,BHS,2014,41.6
Bangladesh,BGD,2012,63.8
Bangladesh,BGD,2014,75.6
Belarus,BLR,2012,41.2
Belarus,BLR,2014,52.7
Belgium,BEL,2012,76.4
Belgium,BEL,2014,76.4
Belize,BLZ,2014,42.5
Bolivia,BOL,2012,40.4
Bolivia,BOL,2014,40.4
Bosnia and Herzegovina,BIH,2012,75.2
Bosnia and Herzegovina,BIH,2014,86
Brazil,BRA,2012,62.6
Brazil,BRA,2014,64.3
Bulgaria,BGR,2012,86.4
Bulgaria,BGR,2014,84
Burundi,BDI,2014,41.2
Cambodia,KHM,2012,17.1
Cambodia,KHM,2014,22.2
Cameroon,CMR,2012,21.5
Cameroon,CMR,2014,17.9
Canada,CAN,2012,64.5
Canada,CAN,2014,64.5
Chile,CHL,2012,82
Chile,CHL,2014,81.6
China,CHN,2012,47.7
China,CHN,2014,47.8
Colombia,COL,2012,50.9
Colombia,COL,2014,49.5
Comoros,COM,2014,50.8
Costa Rica,CRI,2014,71.8
Croatia,HRV,2012,70.4
Croatia,HRV,2014,74.8
Cyprus,CYP,2012,75.8
Cyprus,CYP,2014,77.3
Czech Republic,CZE,2012,80
Czech Republic,CZE,2014,75.6
Denmark,DNK,2012,78.7
Denmark,DNK,2014,78.8
Dominican Republic,DOM,2012,58.3
Dominican Republic,DOM,2014,57.7
Ecuador,ECU,2012,64.2
Ecuador,ECU,2014,62.7
Egypt,EGY,2012,71.5
Egypt,EGY,2014,72
Estonia,EST,2012,79.2
Estonia,EST,2014,81.7
Ethiopia,ETH,2014,18.7
Fiji,FJI,2012,40.6
Fiji,FJI,2014,44
Finland,FIN,2012,79.8
Finland,FIN,2014,81.7
France,FRA,2012,80
France,FRA,2014,80.6
Gambia,GMB,2014,34.4
Georgia,GEO,2012,54.9
Georgia,GEO,2014,47.5
Germany,DEU,2012,74.5
Germany,DEU,2014,73.5
Ghana,GHA,2012,23.1
Ghana,GHA,2014,28.3
Greece,GRC,2012,83.2
Greece,GRC,2014,81.6
Guatemala,GTM,2012,49
Guatemala,GTM,2014,49
Honduras,HND,2012,36.2
Honduras,HND,2014,38.1
Hungary,HUN,2012,84.1
Hungary,HUN,2014,77.4
Iceland,ISL,2012,56.9
Iceland,ISL,2014,56.4
India,IND,2012,33.2
India,IND,2014,66.1
Indonesia,IDN,2012,35.5
Indonesia,IDN,2014,50.8
Iran,IRN,2012,2.7
Iran,IRN,2014,4.3
Ireland,IRL,2012,78.8
Ireland,IRL,2014,77.8
Israel,ISR,2014,85
Italy,ITA,2012,75.5
Italy,ITA,2014,76.1
Jamaica,JAM,2012,46.1
Jamaica,JAM,2014,42.9
Japan,JPN,2012,63.2
Japan,JPN,2014,62.9
Kazakhstan,KAZ,2012,27
Kazakhstan,KAZ,2014,39.7
Kenya,KEN,2012,48.8
Kenya,KEN,2014,49.3
Latvia,LVA,2012,78.7
Latvia,LVA,2014,77.3
Lebanon,LBN,2012,44.4
Lebanon,LBN,2014,48.3
Liberia,LBR,2014,17.2
Lithuania,LTU,2012,75.8
Lithuania,LTU,2014,77.6
Luxembourg,LUX,2012,71.1
Luxembourg,LUX,2014,70.7
Macedonia,MKD,2012,70.8
Macedonia,MKD,2014,69.8
Malaysia,MYS,2012,58.4
Malaysia,MYS,2014,59.8
Mali,MLI,2014,38.1
Mexico,MEX,2012,66.5
Mexico,MEX,2014,65.8
Moldova,MDA,2012,44.6
Moldova,MDA,2014,51.6
Mongolia,MNG,2012,0
Mongolia,MNG,2014,44.2
Morocco,MAR,2012,68
Morocco,MAR,2014,68.4
Nepal,NPL,2012,32.9
Nepal,NPL,2014,46.6
Netherlands,NLD,2012,73.1
Netherlands,NLD,2014,74.8
New Zealand,NZL,2012,73.3
New Zealand,NZL,2014,75
Nicaragua,NIC,2012,30.5
Nigeria,NGA,2012,21.7
Norway,NOR,2012,72.8
Norway,NOR,2014,67.2
Oman,OMN,2012,22.1
Oman,OMN,2014,22.1
Pakistan,PAK,2012,61.6
Pakistan,PAK,2014,60.7
Panama,PAN,2012,56.5
Panama,PAN,2014,56.5
Peru,PER,2012,44.9
Peru,PER,2014,39.5
Philippines,PHL,2012,34.2
Philippines,PHL,2014,53
Poland,POL,2012,79.7
Poland,POL,2014,82.6
Portugal,PRT,2012,76.3
Portugal,PRT,2014,79.6
Romania,ROU,2012,75.3
Romania,ROU,2014,77.3
Russia,RUS,2012,45
Russia,RUS,2014,50.5
Rwanda,RWA,2014,24.1
Saint Kitts and Nevis,KNA,2012,19.9
Samoa,WSM,2012,59.5
Saudi Arabia,SAU,2012,22.9
Senegal,SEN,2012,29
Senegal,SEN,2014,37.9
Serbia,SRB,2012,75.4
Serbia,SRB,2014,73.8
Sierra Leone,SLE,2014,19.7
Singapore,SGP,2012,70.4
Singapore,SGP,2014,73.8
Slovakia,SVK,2012,83.1
Slovakia,SVK,2014,84.6
Slovenia,SVN,2012,78.4
Slovenia,SVN,2014,79.4
South Africa,ZAF,2012,47.6
South Africa,ZAF,2014,48.1
South Korea,KOR,2012,65.3
South Korea,KOR,2014,60.3
Spain,ESP,2012,79.2
Spain,ESP,2014,78.8
Sri Lanka,LKA,2012,74.2
Sri Lanka,LKA,2014,73.5
Sweden,SWE,2012,73.8
Sweden,SWE,2014,68.8
Switzerland,CHE,2012,63.6
Switzerland,CHE,2014,61.9
Thailand,THA,2012,68.7
Thailand,THA,2014,70.2
Tonga,TON,2012,64.3
Tunisia,TUN,2012,84.5
Tunisia,TUN,2014,78.1
Turkey,TUR,2012,80.3
Turkey,TUR,2014,82.2
Uganda,UGA,2012,44.2
Uganda,UGA,2014,40.2
Ukraine,UKR,2012,59.7
Ukraine,UKR,2014,62.4
United Arab Emirates,ARE,2012,24.5
United Arab Emirates,ARE,2014,21.1
United Kingdom,GBR,2012,76.1
United Kingdom,GBR,2014,81.3
United States,USA,2012,42.9
United States,USA,2014,42.9
Uruguay,URY,2012,69
Uruguay,URY,2014,65.6
Uzbekistan,UZB,2012,32.7
Uzbekistan,UZB,2014,31.1
Venezuela,VEN,2012,71
Vietnam,VNM,2012,41.6
Vietnam,VNM,2014,41.6
Yemen,YEM,2012,52.9
