Entity,Code,Year,Dollars
Jamaica,JAM,2012,12.19
United Kingdom,GBR,2012,10.78
Ireland,IRL,2012,10.59
Singapore,SGP,2012,10.58
New Zealand,NZL,2012,8.53
Norway,NOR,2012,8.33
Australia,AUS,2012,8.24
Sri Lanka,LKA,2012,7.63
Tonga,TON,2012,7.63
Cameroon,CMR,2012,7.54
Iceland,ISL,2012,7.42
Canada,CAN,2012,6.8
France,FRA,2012,6.69
Panama,PAN,2012,6.57
Netherlands,NLD,2012,6.17
Portugal,PRT,2012,6.07
United States,USA,2012,6.07
Samoa,WSM,2012,5.96
Venezuela,VEN,2012,5.95
Poland,POL,2012,5.85
Romania,ROU,2012,5.79
Bulgaria,BGR,2012,5.76
Germany,DEU,2012,5.74
Ecuador,ECU,2012,5.67
