Entity,Code,Year,Dollars
Cambodia,KHM,2014,0.92
Zimbabwe,ZWE,2014,1.07
Bangladesh,BGD,2014,1.54
Sierra Leone,SLE,2014,1.58
Nepal,NPL,2014,1.73
Kenya,KEN,2014,1.78
Colombia,COL,2014,1.81
United Arab Emirates,ARE,2014,1.82
Mali,MLI,2014,1.85
Philippines,PHL,2014,1.86
Senegal,SEN,2014,1.91
Yemen,YEM,2014,1.94
Ethiopia,ETH,2014,1.97
Uganda,UGA,2014,2.03
Moldova,MDA,2014,2.06
Russia,RUS,2014,2.18
Uzbekistan,UZB,2014,2.31
Lebanon,LBN,2014,2.67
Indonesia,IDN,2014,2.68
Egypt,EGY,2014,2.69
Azerbaijan,AZE,2014,2.7
Bolivia,BOL,2014,2.82
Oman,OMN,2014,2.86
Macedonia,MKD,2014,3.05
