,Entity,Code,Year,CigPrices
1,Algeria,DZA,2014,2.09
3,Argentina,ARG,2014,3.47
5,Armenia,ARM,2014,1.74
7,Australia,AUS,2014,10.64
9,Austria,AUT,2014,5.34
11,Azerbaijan,AZE,2014,2.7
12,Bahamas,BHS,2014,9.75
14,Bangladesh,BGD,2014,1.54
16,Belarus,BLR,2014,1.77
18,Belgium,BEL,2014,6.08
19,Belize,BLZ,2014,6.75
21,Bolivia,BOL,2014,2.82
23,Bosnia and Herzegovina,BIH,2014,3.86
25,Brazil,BRA,2014,2.85
27,Bulgaria,BGR,2014,6.25
28,Burundi,BDI,2014,2.26
30,Cambodia,KHM,2014,0.92
32,Cameroon,CMR,2014,2.43
34,Canada,CAN,2014,6.88
36,Chile,CHL,2014,5.21
38,China,CHN,2014,2.13
40,Colombia,COL,2014,1.81
41,Comoros,COM,2014,1.96
42,Costa Rica,CRI,2014,3.63
44,Croatia,HRV,2014,5.65
46,Cyprus,CYP,2014,5.52
48,Czech Republic,CZE,2014,5.69
50,Denmark,DNK,2014,4.73
52,Dominican Republic,DOM,2014,6.25
54,Ecuador,ECU,2014,5.91
56,Egypt,EGY,2014,2.69
58,Estonia,EST,2014,4.8
59,Ethiopia,ETH,2014,1.97
61,Fiji,FJI,2014,4.57
63,Finland,FIN,2014,5.42
65,France,FRA,2014,7.61
66,Gambia,GMB,2014,4.42
68,Georgia,GEO,2014,2.41
70,Germany,DEU,2014,6.34
72,Ghana,GHA,2014,2.41
74,Greece,GRC,2014,5.75
76,Guatemala,GTM,2014,3.22
78,Honduras,HND,2014,3.38
80,Hungary,HUN,2014,6.74
82,Iceland,ISL,2014,8.89
84,India,IND,2014,4.63
86,Indonesia,IDN,2014,2.68
88,Iran,IRN,2014,2.52
90,Ireland,IRL,2014,11.16
91,Israel,ISR,2014,7.15
93,Italy,ITA,2014,5.43
95,Jamaica,JAM,2014,13.0
97,Japan,JPN,2014,4.34
99,Kazakhstan,KAZ,2014,1.45
101,Kenya,KEN,2014,1.78
103,Latvia,LVA,2014,7.13
105,Lebanon,LBN,2014,2.67
107,Lithuania,LTU,2014,5.11
109,Luxembourg,LUX,2014,4.47
111,Macedonia,MKD,2014,3.05
113,Malaysia,MYS,2014,6.1
114,Mali,MLI,2014,1.85
116,Mexico,MEX,2014,5.15
118,Moldova,MDA,2014,2.06
120,Mongolia,MNG,2014,2.54
122,Morocco,MAR,2014,4.81
124,Nepal,NPL,2014,1.73
126,Netherlands,NLD,2014,7.22
128,New Zealand,NZL,2014,10.61
132,Norway,NOR,2014,9.31
134,Oman,OMN,2014,2.86
136,Pakistan,PAK,2014,1.1
138,Panama,PAN,2014,6.44
140,Peru,PER,2014,3.7
142,Philippines,PHL,2014,1.86
144,Poland,POL,2014,6.45
146,Portugal,PRT,2014,5.93
148,Romania,ROU,2014,6.16
150,Russia,RUS,2014,2.18
151,Rwanda,RWA,2014,2.01
156,Senegal,SEN,2014,1.91
158,Serbia,SRB,2014,4.48
159,Sierra Leone,SLE,2014,1.58
161,Singapore,SGP,2014,11.04
163,Slovakia,SVK,2014,4.95
165,Slovenia,SVN,2014,5.84
167,South Africa,ZAF,2014,5.48
169,South Korea,KOR,2014,3.24
171,Spain,ESP,2014,6.39
173,Sri Lanka,LKA,2014,8.42
175,Sweden,SWE,2014,6.5
177,Switzerland,CHE,2014,5.08
179,Thailand,THA,2014,3.41
182,Tunisia,TUN,2014,3.26
184,Turkey,TUR,2014,5.63
186,Uganda,UGA,2014,2.03
188,Ukraine,UKR,2014,2.22
190,United Arab Emirates,ARE,2014,1.82
192,United Kingdom,GBR,2014,11.2
194,United States,USA,2014,6.07
196,Uruguay,URY,2014,3.71
198,Uzbekistan,UZB,2014,2.31
201,Vietnam,VNM,2014,2.07
203,Yemen,YEM,2014,1.94
205,Zambia,ZMB,2014,1.81
207,Zimbabwe,ZWE,2014,1.07
