Entity,Code,Year,Tobacco smoking
Afghanistan,AFG,1990,6797
Afghanistan,AFG,1995,10589
Afghanistan,AFG,2000,12987
Afghanistan,AFG,2005,15870
Afghanistan,AFG,2006,16337
Afghanistan,AFG,2010,17677
Afghanistan,AFG,2016,20952
Albania,ALB,1990,2291
Albania,ALB,1995,2477
Albania,ALB,2000,2925
Albania,ALB,2005,3310
Albania,ALB,2006,3317
Albania,ALB,2010,3385
Albania,ALB,2016,3638
Algeria,DZA,1990,8612
Algeria,DZA,1995,9103
Algeria,DZA,2000,9238
Algeria,DZA,2005,9431
Algeria,DZA,2006,9354
Algeria,DZA,2010,9481
Algeria,DZA,2016,10076
American Samoa,ASM,1990,35
American Samoa,ASM,1995,37
American Samoa,ASM,2000,37
American Samoa,ASM,2005,40
American Samoa,ASM,2006,40
American Samoa,ASM,2010,41
American Samoa,ASM,2016,48
Andorra,AND,1990,56
Andorra,AND,1995,64
Andorra,AND,2000,60
Andorra,AND,2005,72
Andorra,AND,2006,75
Andorra,AND,2010,84
Andorra,AND,2016,96
Angola,AGO,1990,3090
Angola,AGO,1995,3460
Angola,AGO,2000,3506
Angola,AGO,2005,3786
Angola,AGO,2006,3871
Angola,AGO,2010,4264
Angola,AGO,2016,5210
Antigua and Barbuda,ATG,1990,12
Antigua and Barbuda,ATG,1995,11
Antigua and Barbuda,ATG,2000,11
Antigua and Barbuda,ATG,2005,10
Antigua and Barbuda,ATG,2006,10
Antigua and Barbuda,ATG,2010,10
Antigua and Barbuda,ATG,2016,11
Argentina,ARG,1990,39378
Argentina,ARG,1995,39853
Argentina,ARG,2000,41873
Argentina,ARG,2005,42350
Argentina,ARG,2006,42397
Argentina,ARG,2010,43059
Argentina,ARG,2016,43691
Armenia,ARM,1990,4010
Armenia,ARM,1995,4859
Armenia,ARM,2000,4562
Armenia,ARM,2005,4933
Armenia,ARM,2006,5099
Armenia,ARM,2010,4905
Armenia,ARM,2016,4346
Australia,AUS,1990,20673
Australia,AUS,1995,20013
Australia,AUS,2000,18892
Australia,AUS,2005,18133
Australia,AUS,2006,18316
Australia,AUS,2010,19262
Australia,AUS,2016,21267
Austria,AUT,1990,11173
Austria,AUT,1995,10647
Austria,AUT,2000,10159
Austria,AUT,2005,9469
Austria,AUT,2006,9366
Austria,AUT,2010,9316
Austria,AUT,2016,9688
Azerbaijan,AZE,1990,5970
Azerbaijan,AZE,1995,6936
Azerbaijan,AZE,2000,6916
Azerbaijan,AZE,2005,7631
Azerbaijan,AZE,2006,7830
Azerbaijan,AZE,2010,8693
Azerbaijan,AZE,2016,9430
Bahamas,BHS,1990,98
Bahamas,BHS,1995,109
Bahamas,BHS,2000,110
Bahamas,BHS,2005,122
Bahamas,BHS,2006,119
Bahamas,BHS,2010,131
Bahamas,BHS,2016,156
Bahrain,BHR,1990,281
Bahrain,BHR,1995,288
Bahrain,BHR,2000,266
Bahrain,BHR,2005,256
Bahrain,BHR,2006,258
Bahrain,BHR,2010,256
Bahrain,BHR,2016,287
Bangladesh,BGD,1990,82656
Bangladesh,BGD,1995,86814
Bangladesh,BGD,2000,90649
Bangladesh,BGD,2005,89936
Bangladesh,BGD,2006,93758
Bangladesh,BGD,2010,108532
Bangladesh,BGD,2016,145617
Barbados,BRB,1990,72
Barbados,BRB,1995,77
Barbados,BRB,2000,68
Barbados,BRB,2005,64
Barbados,BRB,2006,65
Barbados,BRB,2010,63
Barbados,BRB,2016,73
Belarus,BLR,1990,17671
Belarus,BLR,1995,23056
Belarus,BLR,2000,23155
Belarus,BLR,2005,22740
Belarus,BLR,2006,21690
Belarus,BLR,2010,19855
Belarus,BLR,2016,15892
Belgium,BEL,1990,20230
Belgium,BEL,1995,20397
Belgium,BEL,2000,19356
Belgium,BEL,2005,18221
Belgium,BEL,2006,17925
Belgium,BEL,2010,18211
Belgium,BEL,2016,18111
Belize,BLZ,1990,46
Belize,BLZ,1995,71
Belize,BLZ,2000,90
Belize,BLZ,2005,88
Belize,BLZ,2006,89
Belize,BLZ,2010,99
